Tamanho da Tabela,Tamanho do Conjunto,Tempo de Inserção Divisão (ms),Tempo de Busca Médio Divisão (ms),Colisões Inserção Divisão,Colisões Busca Divisão,Tempo de Inserção Multiplicação (ms),Tempo de Busca Médio Multiplicação (ms),Colisões Inserção Multiplicação,Colisões Busca Multiplicação,Tempo de Inserção Dobramento (ms),Tempo de Busca Médio Dobramento (ms),Colisões Inserção Dobramento,Colisões Busca Dobramento
10,20000,5,0,19990,0,12,0,19990,0,21,0,19990,0
100,20000,0,0,19900,0,0,0,19900,0,17,0,19900,0
1000,20000,0,0,19000,0,3,0,19096,0,6,0,19000,0
10000,20000,5,0,11329,0,3,0,19096,0,7,0,11375,0
100000,20000,0,0,1875,0,2,0,19096,0,13,0,1912,0
10,100000,1,0,99990,0,2,0,99990,0,15,1,99990,0
100,100000,2,0,99900,0,2,0,99900,0,38,0,99900,0
1000,100000,2,0,99000,0,2,0,99080,0,16,0,99000,0
10000,100000,5,0,90002,0,3,0,99080,0,23,0,90000,0
100000,100000,5,0,36753,0,4,0,99080,0,22,0,36675,0
10,500000,6,1,499990,0,7,1,499990,0,159,0,499990,0
100,500000,7,0,499900,0,129,0,499900,0,127,0,499900,0
1000,500000,17,0,499000,0,18,0,499076,0,146,0,499000,0
10000,500000,28,0,490000,0,16,0,499076,0,94,0,490000,0
100000,500000,63,0,400643,0,16,0,499076,0,141,0,400639,0
10,1000000,18,2,999990,0,24,2,999990,0,209,1,999990,0
100,1000000,15,0,999900,0,15,0,999900,0,106,0,999900,0
1000,1000000,15,0,999000,0,17,0,999076,0,173,0,999000,0
10000,1000000,36,0,990000,0,13,2,999076,0,282,0,990000,0
100000,1000000,95,0,900008,0,30,0,999076,0,291,0,900003,0
10,5000000,177,11,4999990,0,71,10,4999990,0,1079,6,4999990,0
100,5000000,84,2,4999900,0,111,3,4999900,0,766,0,4999900,0
1000,5000000,155,0,4999000,0,79,0,4999076,0,663,0,4999000,0
10000,5000000,276,0,4990000,0,79,0,4999076,0,869,0,4990000,0
100000,5000000,469,0,4900000,0,87,0,4999076,0,1017,0,4900000,0
